,내용,점수,날짜
234,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
235,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
236,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
237,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
238,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
239,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
240,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
241,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
242,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
243,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
244,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
245,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
246,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
247,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
248,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
249,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
250,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
251,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
252,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
253,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
254,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
255,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
256,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
257,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
258,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
259,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
260,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
261,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
262,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
263,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
264,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
265,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
266,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
267,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
268,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
269,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
270,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
271,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
272,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
273,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
274,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
275,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
276,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
277,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
278,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
279,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
280,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
281,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
282,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
283,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
284,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
285,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
286,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
287,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
288,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
289,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
290,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
291,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
292,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
293,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
294,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
295,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
296,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
297,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
298,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
299,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
300,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
301,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
302,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
303,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
304,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
305,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
306,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
307,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
308,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
309,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
310,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
311,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
312,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
313,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
314,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
315,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
316,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
317,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
318,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
319,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
320,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
321,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
322,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
323,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
324,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
325,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
326,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
327,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
328,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
329,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
330,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
331,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
332,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
333,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
334,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
335,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
336,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
337,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
338,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
339,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
340,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
341,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
342,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
343,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
344,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
345,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
346,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
347,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
348,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
349,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
350,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
351,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
352,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
353,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
354,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
355,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
356,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
357,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
358,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
359,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
360,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
361,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
362,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
363,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
364,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
365,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
366,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
367,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
368,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
369,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
370,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
371,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
372,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
373,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
374,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
375,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
376,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
377,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
378,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
379,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
380,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
